10milvoltthunderbolt	10Mil Volt Thunderbolt
10milvoltthunderboltpart1	10Mil Volt Thunderbolt part 1
10milvoltthunderboltpart2	10Mil Volt Thunderbolt part 2
10milvoltthunderboltpart3	10Mil Volt Thunderbolt part 3
absorb	Absorb
absorbpart1	Absorb part 1
accelerock	Accelerock
acid	Acid
acidarmor	Acid Armor
aciddownpour	Acid Downpour
aciddownpourpart1	Acid Downpour part 1
aciddownpourpart2	Acid Downpour part 2
aciddownpourpart3	Acid Downpour part 3
acidspray	Acid Spray
acrobatics	Acrobatics
acupressure	Acupressure
acupressurepart1	Acupressure part 1
aerialace	Aerial Ace
aeroblast	Aeroblast
afteryou	After You
agility	Agility
agilitypart1	Agility part 1
aircutter	Air Cutter
airslash	Air Slash
alloutpummeling	All-Out Pummeling
alloutpummelingpart1	All-Out Pummeling part 1
alloutpummelingpart2	All-Out Pummeling part 2
alloutpummelingpart3	All-Out Pummeling part 3
allyswitch	Ally Switch
amnesia	Amnesia
anchorshot	Anchor Shot
ancientpower	Ancient Power
aquajet	Aqua Jet
aquaring	Aqua Ring
aquatail	Aqua Tail
armthrust1hit	Arm Thrust 1hit
armthrust2hits	Arm Thrust 2hits
aromatherapy	Aromatherapy
assist	Assist
assurance	Assurance
astonish	Astonish
attackorder	Attack Order
attract	Attract
attractturndamage	Attract turn damage
aurasphere	Aura Sphere
aurorabeam	Aurora Beam
auroraveil	Aurora Veil
autotomize	Autotomize
avalanche	Avalanche
babydolleyes	Baby-Doll Eyes
banefulbunker	Baneful Bunker
barrage1hit	Barrage 1hit
barrage2hits	Barrage 2hits
barrier	Barrier
batonpass	Baton Pass
beakblast	Beak Blast
beakblastpart1	Beak Blast part 1
beakblastpart2	Beak Blast part 2
beatup1hit	Beat Up 1hit
beatup2hits	Beat Up 2hits
belch	Belch
bellydrum	Belly Drum
bestow	Bestow
bide	Bide
bidepart1	Bide part 1
bidepart2	Bide part 2
bind	Bind
bindturndamage	Bind turn damage
bite	Bite
blackholeeclipse	Black Hole Eclipse
blackholeeclipsepart1	Black Hole Eclipse part 1
blackholeeclipsepart2	Black Hole Eclipse part 2
blackholeeclipsepart3	Black Hole Eclipse part 3
blastburn	Blast Burn
blazekick	Blaze Kick
blizzard	Blizzard
block	Block
bloomdoom	Bloom Doom
bloomdoompart1	Bloom Doom part 1
bloomdoompart2	Bloom Doom part 2
bloomdoompart3	Bloom Doom part 3
blueflare	Blue Flare
bodyslam	Body Slam
boltstrike	Bolt Strike
boltstrikepart1	Bolt Strike part 1
boltstrikepart2	Bolt Strike part 2
boltstrikepart3	Bolt Strike part 3
boneclub	Bone Club
bonerush1hit	Bone Rush 1hit
bonerush2hits	Bone Rush 2hits
bonemerang1hit	Bonemerang 1hit
bonemerang2hits	Bonemerang 2hits
boomburst	Boomburst
bounce	Bounce
bouncepart1	Bounce part 1
bouncepart2	Bounce part 2
bravebird	Brave Bird
bravebirdpart1	Brave Bird part 1
bravebirdpart2	Brave Bird part 2
breakneckblitz	Breakneck Blitz
breakneckblitzpart1	Breakneck Blitz part 1
breakneckblitzpart2	Breakneck Blitz part 2
breakneckblitzpart3	Breakneck Blitz part 3
brickbreak	Brick Break
brine	Brine
brutalswing	Brutal Swing
bubble	Bubble
bubblebeam	Bubble Beam
bugbite	Bug Bite
bugbuzz	Bug Buzz
bulkup	Bulk Up
bulldoze	Bulldoze
bulletpunch	Bullet Punch
bulletseed1hit	Bullet Seed 1hit
bulletseed2hits	Bullet Seed 2hits
burnup	Burn Up
calmmind	Calm Mind
calmmindpart1	Calm Mind part 1
calmmindpart2	Calm Mind part 2
camouflage	Camouflage
captivate	Captivate
catastropika	Catastropika
catastropikapart1	Catastropika part 1
catastropikapart2	Catastropika part 2
catastropikapart3	Catastropika part 3
celebrate	Celebrate
celebratepart1	Celebrate part 1
celebratepart2	Celebrate part 2
chargebeam	Charge Beam
charm	Charm
chatter	Chatter
chatterpart1	Chatter part 1
chatterpart2	Chatter part 2
chipaway	Chip Away
chipawaypart1	Chip Away part 1
chipawaypart2	Chip Away part 2
circlethrow	Circle Throw
clamp	Clamp
clangingscales	Clanging Scales
clangoroussoulblaze	Clangorous Soulblaze
clangoroussoulblazepart1	Clangorous Soulblaze part 1
clangoroussoulblazepart2	Clangorous Soulblaze part 2
clangoroussoulblazepart3	Clangorous Soulblaze part 3
clearsmog	Clear Smog
closecombat	Close Combat
coil	Coil
cometpunch1hit	Comet Punch 1hit
cometpunch2hits	Comet Punch 2hits
confide	Confide
confuseray	Confuse Ray
confuseraypart1	Confuse Ray part 1
confusion	Confusion
confusionpart1	Confusion part 1
confusionpart2	Confusion part 2
constrict	Constrict
continentalcrush	Continental Crush
continentalcrushpart1	Continental Crush part 1
continentalcrushpart2	Continental Crush part 2
continentalcrushpart3	Continental Crush part 3
conversion	Conversion
conversion2	Conversion 2
conversionpart1	Conversion part 1
conversionpart2	Conversion part 2
copycat	Copycat
copycatpart1	Copycat part 1
copycatpart2	Copycat part 2
coreenforcer	Core Enforcer
coreenforcerpart1	Core Enforcer part 1
coreenforcerpart2	Core Enforcer part 2
corkscrewcrash	Corkscrew Crash
corkscrewcrashpart1	Corkscrew Crash part 1
corkscrewcrashpart2	Corkscrew Crash part 2
corkscrewcrashpart3	Corkscrew Crash part 3
cosmicpower	Cosmic Power
cottonguard	Cotton Guard
cottonsport	Cotton Sport
counter	Counter
covet	Covet
crabhammer	Crabhammer
craftyshield	Crafty Shield
crosschop	Cross Chop
crosspoison	Cross Poison
crunch	Crunch
crushclaw	Crush Claw
crushgrip	Crush Grip
curse	Curse
cut	Cut
darkpulse	Dark Pulse
darkvoid	Dark Void
darkestlariat	Darkest Lariat
dazzlinggleam	Dazzling Gleam
defendorder	Defend Order
defensecurl	Defense Curl
defog	Defog
destinybond	Destiny Bond
detect	Detect
detectshieldhit	Detect shield hit
devastatingdrake	Devastating Drake
devastatingdrakepart1	Devastating Drake part 1
devastatingdrakepart2	Devastating Drake part 2
devastatingdrakepart3	Devastating Drake part 3
diamondstorm	Diamond Storm
dig	Dig
digpart1	Dig part 1
digpart2	Dig part 2
disable	Disable
disarmingvoice	Disarming Voice
discharge	Discharge
dive	Dive
divepart1	Dive part 1
divepart2	Dive part 2
dizzypunch	Dizzy Punch
doomdesire	Doom Desire
doublehit1hit	Double Hit 1hit
doublehit2hits	Double Hit 2hits
doublekick1hit	Double Kick 1hit
doublekick2hits	Double Kick 2hits
doubleslap1hit	Double Slap 1hit
doubleslap2hits	Double Slap 2hits
doubleteam	Double Team
doubleedge	Double-Edge
dracometeor	Draco Meteor
dragonascent	Dragon Ascent
dragonbreath	Dragon Breath
dragonclaw	Dragon Claw
dragondance	Dragon Dance
dragonhammer	Dragon Hammer
dragonpulse	Dragon Pulse
dragonrage	Dragon Rage
dragonrush	Dragon Rush
dragontail	Dragon Tail
drainpunch	Drain Punch
drainingkiss	Draining Kiss
drainingkisspart1	Draining Kiss part 1
drainingkisspart2	Draining Kiss part 2
dreameater	Dream Eater
dreameaterpart1	Dream Eater part 1
drillpeck	Drill Peck
drillrun	Drill Run
dualchop1hit	Dual Chop 1hit
dualchop2hits	Dual Chop 2hits
dynamicpunch	Dynamic Punch
earthpower	Earth Power
earthquake	Earthquake
echoedvoice	Echoed Voice
eerieimpulse	Eerie Impulse
eggbomb	Egg Bomb
electricterrain	Electric Terrain
electricterrainpart1	Electric Terrain part 1
electricterrainpart2	Electric Terrain part 2
electrify	Electrify
electroball	Electro Ball
electroweb	Electroweb
embargo	Embargo
ember	Ember
encore	Encore
endeavor	Endeavor
endure	Endure
energyball	Energy Ball
entrainment	Entrainment
entrainmentpart1	Entrainment part 1
eruption	Eruption
explosion	Explosion
extrasensory	Extrasensory
extremeevoboost	Extreme Evoboost
extremeevoboostpart1	Extreme Evoboost part 1
extremeevoboostpart2	Extreme Evoboost part 2
extremeevoboostpart3	Extreme Evoboost part 3
extremeevoboostpart4	Extreme Evoboost part 4
facade	Facade
fairylock	Fairy Lock
fairywind	Fairy Wind
fakeout	Fake Out
faketears	Fake Tears
falseswipe	False Swipe
featherdance	Feather Dance
feint	Feint
feintattack	Feint Attack
fellstinger	Fell Stinger
fierydance	Fiery Dance
finalgambit	Final Gambit
fireblast	Fire Blast
firefang	Fire Fang
firelash	Fire Lash
firepledge	Fire Pledge
firepunch	Fire Punch
firespin	Fire Spin
firespinturndamage	Fire Spin turn damage
firstimpression	First Impression
fissure	Fissure
flail	Flail
flameburst	Flame Burst
flamecharge	Flame Charge
flamewheel	Flame Wheel
flamethrower	Flamethrower
flareblitz	Flare Blitz
flash	Flash
flashcannon	Flash Cannon
flatter	Flatter
fleurcannon	Fleur Cannon
fling	Fling
floralhealing	Floral Healing
floralhealingpart1	Floral Healing part 1
flowershield	Flower Shield
fly	Fly
flypart1	Fly part 1
flypart2	Fly part 2
flyingpress	Flying Press
focusblast	Focus Blast
focusenergy	Focus Energy
focuspunch	Focus Punch
focuspunchpart1	Focus Punch part 1
focuspunchpart2	Focus Punch part 2
followme	Follow Me
forcepalm	Force Palm
foresight	Foresight
forestscurse	Forest's Curse
foulplay	Foul Play
freezeshock	Freeze Shock
freezeshockpart1	Freeze Shock part 1
freezeshockpart2	Freeze Shock part 2
freezedry	Freeze-Dry
frenzyplant	Frenzy Plant
frostbreath	Frost Breath
frustration	Frustration
furyattack1hit	Fury Attack 1hit
furyattack2hits	Fury Attack 2hits
furycutter	Fury Cutter
furyswipes1hit	Fury Swipes 1hit
furyswipes2hits	Fury Swipes 2hits
fusionbolt	Fusion Bolt
fusionflare	Fusion Flare
futuresight	Future Sight
futuresightpart1	Future Sight part 1
futuresightpart2	Future Sight part 2
gastroacid	Gastro Acid
geargrind	Gear Grind
gearup	Gear Up
genesissupernova	Genesis Supernova
genesissupernovapart1	Genesis Supernova part 1
genesissupernovapart2	Genesis Supernova part 2
genesissupernovapart3	Genesis Supernova part 3
geomancy	Geomancy
geomancypart1	Geomancy part 1
geomancypart2	Geomancy part 2
gigadrain	Giga Drain
gigaimpact	Giga Impact
gigavolthavoc	Gigavolt Havoc
gigavolthavocpart1	Gigavolt Havoc part 1
gigavolthavocpart2	Gigavolt Havoc part 2
gigavolthavocpart3	Gigavolt Havoc part 3
glaciate	Glaciate
glare	Glare
grassknot	Grass Knot
grasspledge	Grass Pledge
grasswhistle	Grass Whistle
grasswhistlepart1	Grass Whistle part 1
grassyterrain	Grassy Terrain
grassyterrainpart1	Grassy Terrain part 1
grassyterrainpart2	Grassy Terrain part 2
gravity	Gravity
growl	Growl
growth	Growth
grudge	Grudge
guardsplit	Guard Split
guardswap	Guard Swap
guardianofalola	Guardian of Alola
guardianofalolapart1	Guardian of Alola part 1
guardianofalolapart2	Guardian of Alola part 2
guardianofalolapart3	Guardian of Alola part 3
guillotine	Guillotine
gunkshot	Gunk Shot
gyroball	Gyro Ball
hail	Hail
hailturndamage	Hail turn damage
hammerarm	Hammer Arm
happyhour	Happy Hour
harden	Harden
haze	Haze
headcharge	Head Charge
headsmash	Head Smash
headbutt	Headbutt
healbell	Heal Bell
healblock	Heal Block
healorder	Heal Order
healorderpart1	Heal Order part 1
healpulse	Heal Pulse
healpulsepart1	Heal Pulse part 1
healingwish	Healing Wish
healingwishpart1	Healing Wish part 1
heartstamp	Heart Stamp
heatcrash	Heat Crash
heatwave	Heat Wave
heavyslam	Heavy Slam
helpinghand	Helping Hand
hex	Hex
hiddenpower	Hidden Power
highhorsepower	High Horsepower
highjumpkick	High Jump Kick
hitnormaldamage	Hit Normal Damage
hitsupereffective	Hit Super Effective
hitweaknotveryeffective	Hit Weak Not Very Effective
holdback	Hold Back
holdhands	Hold Hands
